player_name,team,position,assists,goals,minutes_played,red_cards,yellow_cards,season
Jon Ander Olasagasti,R. Sociedad B,Midfielder,3.0,4.0,2770.0,,5.0,s2122
Jon Bautista,CD Leganés,Forward,1.0,1.0,1157.0,,4.0,s2122
Jon Guridi,Real Sociedad,Midfielder,,1.0,200.0,,,s2122
Jon Karrikaburu,Real Sociedad,Forward,,,,,,s2122
Jon Moncayola,CA Osasuna,Midfielder,3.0,2.0,2921.0,,3.0,s2122
Jon Morcillo,Real Valladolid CF,Forward,2.0,1.0,229.0,,,s2122
Jon Pacheco,R. Sociedad B,Defender,,,180.0,,1.0,s2122
Jonathan Gómez,Real Sociedad,Defender,,,,,,s2122
Jonathan Silva,Getafe CF,Defender,,,221.0,,4.0,s2122
Jonatan Carmona Álamo,,,,,,,,s2122
Jonás Ramalho,CA Osasuna,Defender,,,245.0,,,s2122
Jordi Alba,FC Barcelona,Defender,10.0,2.0,2648.0,,11.0,s2122
Jordi Mboula,,,,,,,,s2122
Jorge Cuenca,Getafe CF,Defender,,1.0,2686.0,2.0,6.0,s2122
Jorge Miramón,Levante UD,Midfielder,,1.0,1975.0,,5.0,s2122
Jorge Molina,Granada CF,Forward,5.0,10.0,1957.0,,2.0,s2122
Jorge Moreno,,,,,,,,s2122
Jorge de Frutos,Levante UD,Midfielder,7.0,4.0,1766.0,,4.0,s2122
José Antonio Ferrández Pomares,Elche CF,Midfielder,3.0,2.0,1197.0,,2.0,s2122
Joseba Zaldúa,Real Sociedad,Defender,,,1170.0,,6.0,s2122
José David Menargues Manzanares,Valencia CF,Defender,,,,,,s2122
José David Álvarez Adsuar,Levante UD,Defender,,,,,,s2122
Jose Luis Mato Sanmartín,Deportivo Alavés,Forward,4.0,14.0,3126.0,,,s2122
José Manuel Sánchez Guillén,Real Valladolid CF,Defender,,,274.0,,,s2122
Josep Antoni Gayá Martinez,RCD Mallorca,Defender,,,59.0,,,s2122
Joseph Aidoo,RC Celta,Defender,,,2640.0,,1.0,s2122
José Campaña,Levante UD,Midfielder,2.0,2.0,1428.0,1.0,6.0,s2122
